name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_Na	floating_NH3
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2176.471952	2	4
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2193.498501	2	5
HS_HexA5_HexN5_Ac0_S3_pNP	5	5	10	0	3	C66H100N6O62S3	2210.525050	2	6
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2144.358682	0	0
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2161.385231	0	1
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2178.411780	0	2
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2195.438330	0	3
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2212.464879	0	4
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2229.491428	0	5
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2246.517977	0	6
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2263.544526	0	7
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2280.571075	0	8
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2297.597624	0	9
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2166.340626	1	0
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2183.367176	1	1
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2200.393725	1	2
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2217.420274	1	3
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2234.446823	1	4
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2251.473372	1	5
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2268.499921	1	6
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2285.526470	1	7
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2302.553019	1	8
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2188.322571	2	0
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2205.349120	2	1
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2222.375669	2	2
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2239.402218	2	3
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2256.428767	2	4
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2273.455316	2	5
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2290.481865	2	6
HS_HexA5_HexN5_Ac0_S4_pNP	5	5	10	0	4	C66H100N6O65S4	2307.508414	2	7
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2224.315497	0	0
HS_HexA5_HexN5_Ac0_S5_pNP	5	5	10	0	5	C66H100N6O68S5	2241.342046	0	1
