name	HexA	HexN	DP	Ac	S	formula	neutral_mass	floating_NH3
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2651.477982	11
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2668.504532	12
HS_HexA5_HexN5_Ac0_S8_pNP	5	5	10	0	8	C66H100N6O77S8	2685.531081	13
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2544.142757	0
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2561.169306	1
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2578.195856	2
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2595.222405	3
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2612.248954	4
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2629.275503	5
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2646.302052	6
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2663.328601	7
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2680.355150	8
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2697.381699	9
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2714.408248	10
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2731.434797	11
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2748.461347	12
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2765.487896	13
HS_HexA5_HexN5_Ac0_S9_pNP	5	5	10	0	9	C66H100N6O80S9	2782.514445	14
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2624.099572	0
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2641.126122	1
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2658.152671	2
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2675.179220	3
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2692.205769	4
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2709.232318	5
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2726.258867	6
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2743.285416	7
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2760.311965	8
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2777.338514	9
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2794.365063	10
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2811.391613	11
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2828.418162	12
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2845.444711	13
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2862.471260	14
HS_HexA5_HexN5_Ac0_S10_pNP	5	5	10	0	10	C66H100N6O83S10	2879.497809	15
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2704.056387	0
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2721.082937	1
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2738.109486	2
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2755.136035	3
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2772.162584	4
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2789.189133	5
HS_HexA5_HexN5_Ac0_S11_pNP	5	5	10	0	11	C66H100N6O86S11	2806.215682	6
